bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1019620031,424,WEST 119 STREET,Multifamily Housing,2017,1910,53352,5.5,,0.7478632479,4.4183591993,0.0004498426,3.93612235717499E-05,0.0004104813
1019620031,424,WEST  119 STREET    ,Multifamily Housing,2016,1910,53352,48.2,,0.5341880342,3.9548939121,0.0033981856,0.0030701754,0.0003280102
1019620061,414,WEST 120 STREET,Multifamily Housing,2017,1980,64842,78.9,,72.0057971685,3.8369606119,0.0041809321,0.0038246815,0.0003562506
1019620061,414,WEST  120 STREET    ,Multifamily Housing,2016,1980,64842,79.4,,2.5369359366,3.8596927917,0.0057216002,0.0054023627,0.0003207797
3001420001,327,JAY STREET,College/University,2017,2000,357000,175.2,,101.1455761905,74.023387395,0.0122417367,0.0053722689,0.0068694678
3001420001,327,JAY STREET          ,College/University,2016,2000,357000,163,,94.1188526611,68.8379131653,0.0107081232,0.0049991597,0.0057089636
2051410810,2100,BARTOW AVENUE,Other,2017,2004,540388,279,,0.7153299111,0.9317203565,0.0001245401,3.79357054560797E-05,8.64193875511669E-05
2051410810,2100,BARTOW AVENUE,Other,2017,2007,540388,124.1,,0.3020065212,0.5708215208,6.90244787078914E-05,1.60995432911168E-05,5.29249354167746E-05
3072500001,2790,WEST 5 STREET,Multifamily Housing,2017,1965,1259938,175.4,,192.9112365847,,0.0102464566,0.0102464566,0
3072500001,2790,WEST    5 STREET    ,Multifamily Housing,2016,1965,1259938,177,,194.6382693434,,0.0103382071,0.0103382071,0
3072530001,2830,OCEAN PARKWAY,Multifamily Housing,2017,1965,1800000,181.6,,200.6809001111,,0.0106591111,0.0106591111,0
3072530001,2830,OCEAN PARKWAY       ,Multifamily Housing,2016,1965,1800000,183.1,,202.3445773889,,0.0107475,0.0107475,0
4093640010,0,,Hospital (General Medical & Surgical),2017,1990,,11.2,,,,,,
4093640010,0,,Hospital (General Medical & Surgical),2017,1987,,383,,,,,,
4093640010,0,VAN WYCK EXPWY SR W ,Hospital (General Medical & Surgical),2016,1987,484470,425.1,,134.0605263484,93.7762530188,0.0148979297,0.0071205647,0.0077771585
